Protein,Model,HR_95CI,P,FDR,HR,lower,upper
ST6GAL1,Model 0,"2.02(1.78,2.28)",4.11E-29,3.22E-28,2.02,1.78,2.28
ST8SIA1,Model 0,"1.00(0.89,1.13)",0.953766293,0.966341976,1,0.89,1.13
STAB2,Model 0,"1.83(1.52,2.20)",1.44E-10,5.44E-10,1.83,1.52,2.2
STAM,Model 0,"1.06(0.92,1.22)",0.435436538,0.515043834,1.06,0.92,1.22
STAMBP,Model 0,"1.18(1.10,1.27)",3.88E-06,1.00E-05,1.18,1.1,1.27
STAT2,Model 0,"1.17(1.09,1.26)",6.86E-06,1.74E-05,1.17,1.09,1.26
STAT5B,Model 0,"1.03(0.99,1.06)",0.124324424,0.175206235,1.03,0.99,1.06
STAU1,Model 0,"1.06(0.98,1.15)",0.144381677,0.20018732,1.06,0.98,1.15
STC1,Model 0,"2.49(2.30,2.69)",6.97E-119,5.09E-117,2.49,2.3,2.69
STC2,Model 0,"1.80(1.50,2.15)",1.46E-10,5.53E-10,1.8,1.5,2.15
STEAP4,Model 0,"0.91(0.84,0.99)",0.026402985,0.043288442,0.91,0.84,0.99
STIP1,Model 0,"1.17(1.09,1.25)",1.04E-05,2.59E-05,1.17,1.09,1.25
STK11,Model 0,"1.11(1.04,1.18)",0.001578209,0.003126439,1.11,1.04,1.18
STK24,Model 0,"1.08(1.00,1.17)",0.049419428,0.077168304,1.08,1,1.17
STK4,Model 0,"1.04(0.98,1.09)",0.181580312,0.245129224,1.04,0.98,1.09
STOML2,Model 0,"1.03(0.97,1.10)",0.275605388,0.349443219,1.03,0.97,1.1
STX16,Model 0,"1.04(0.96,1.13)",0.300138061,0.375494061,1.04,0.96,1.13
STX1B,Model 0,"1.01(0.88,1.15)",0.939080785,0.955774099,1.01,0.88,1.15
STX3,Model 0,"1.11(0.97,1.27)",0.12213917,0.172793303,1.11,0.97,1.27
STX4,Model 0,"1.14(1.07,1.22)",0.000103744,0.000233383,1.14,1.07,1.22
STX5,Model 0,"1.08(0.94,1.23)",0.274541405,0.348548218,1.08,0.94,1.23
STX6,Model 0,"1.11(1.04,1.18)",0.002289401,0.004433112,1.11,1.04,1.18
STX7,Model 0,"1.21(1.09,1.35)",0.00049116,0.001025152,1.21,1.09,1.35
STX8,Model 0,"1.27(1.17,1.39)",5.00E-08,1.52E-07,1.27,1.17,1.39
STXBP1,Model 0,"0.97(0.91,1.04)",0.461942866,0.541281368,0.97,0.91,1.04
STXBP3,Model 0,"1.06(0.95,1.18)",0.313638441,0.390044398,1.06,0.95,1.18
SUGP1,Model 0,"1.16(1.02,1.32)",0.022591492,0.037438795,1.16,1.02,1.32
SUGT1,Model 0,"1.11(1.05,1.18)",0.00050611,0.001054094,1.11,1.05,1.18
SULT1A1,Model 0,"1.01(0.97,1.04)",0.747817591,0.804578985,1.01,0.97,1.04
SULT2A1,Model 0,"1.26(1.18,1.35)",2.30E-11,9.03E-11,1.26,1.18,1.35
SUMF1,Model 0,"1.02(0.94,1.10)",0.665651997,0.731839156,1.02,0.94,1.1
SUMF2,Model 0,"1.26(1.15,1.38)",4.07E-07,1.16E-06,1.26,1.15,1.38
SUOX,Model 0,"1.22(1.13,1.32)",5.47E-07,1.53E-06,1.22,1.13,1.32
SUSD1,Model 0,"1.03(0.94,1.14)",0.500333252,0.580211713,1.03,0.94,1.14
SUSD2,Model 0,"1.55(1.35,1.78)",3.67E-10,1.34E-09,1.55,1.35,1.78
SUSD4,Model 0,"1.19(1.06,1.34)",0.004224298,0.007917169,1.19,1.06,1.34
SUSD5,Model 0,"2.43(2.09,2.81)",9.86E-32,8.49E-31,2.43,2.09,2.81
SV2A,Model 0,"1.04(0.95,1.13)",0.435494255,0.515043834,1.04,0.95,1.13
SWAP70,Model 0,"1.93(1.79,2.08)",3.51E-68,8.83E-67,1.93,1.79,2.08
SYAP1,Model 0,"1.05(0.96,1.16)",0.280009195,0.35410431,1.05,0.96,1.16
SYNGAP1,Model 0,"0.88(0.79,0.98)",0.019888193,0.033318143,0.88,0.79,0.98
SYT1,Model 0,"1.18(1.04,1.33)",0.008830279,0.015751017,1.18,1.04,1.33
SYTL4,Model 0,"1.05(0.98,1.13)",0.166509179,0.227434394,1.05,0.98,1.13
TAB2,Model 0,"0.98(0.93,1.03)",0.425004042,0.505297965,0.98,0.93,1.03
TACC3,Model 0,"1.00(0.96,1.04)",0.929253088,0.947092153,1,0.96,1.04
TACSTD2,Model 0,"0.93(0.78,1.11)",0.414487145,0.494357688,0.93,0.78,1.11
TADA3,Model 0,"1.04(0.91,1.19)",0.581070104,0.654853224,1.04,0.91,1.19
TAFA5,Model 0,"2.09(1.86,2.35)",3.97E-35,4.02E-34,2.09,1.86,2.35
TAGLN3,Model 0,"1.00(0.92,1.10)",0.924827119,0.944267972,1,0.92,1.1
TALDO1,Model 0,"1.47(1.32,1.64)",4.74E-12,1.94E-11,1.47,1.32,1.64
TANK,Model 0,"1.18(1.11,1.26)",7.13E-07,1.97E-06,1.18,1.11,1.26
TAP1,Model 0,"0.97(0.88,1.07)",0.562937736,0.639602409,0.97,0.88,1.07
TARBP2,Model 0,"1.10(1.04,1.16)",0.001745692,0.00342799,1.1,1.04,1.16
TARM1,Model 0,"0.91(0.84,0.99)",0.027634863,0.04520661,0.91,0.84,0.99
TARS1,Model 0,"1.10(0.96,1.27)",0.178283107,0.24090082,1.1,0.96,1.27
TAX1BP1,Model 0,"1.27(1.17,1.37)",2.72E-09,9.16E-09,1.27,1.17,1.37
TBC1D17,Model 0,"1.22(1.11,1.34)",6.05E-05,0.000138853,1.22,1.11,1.34
TBC1D23,Model 0,"1.00(0.95,1.05)",0.994109963,0.996063531,1,0.95,1.05
TBC1D5,Model 0,"1.06(1.01,1.13)",0.029943144,0.048791284,1.06,1.01,1.13
TBCA,Model 0,"1.15(1.08,1.23)",1.24E-05,3.06E-05,1.15,1.08,1.23
TBCB,Model 0,"1.07(1.02,1.12)",0.00447906,0.008362439,1.07,1.02,1.12
TBCC,Model 0,"1.06(1.00,1.12)",0.062297625,0.094892574,1.06,1,1.12
TBL1X,Model 0,"1.02(0.96,1.08)",0.476230218,0.554905122,1.02,0.96,1.08
TBR1,Model 0,"0.97(0.86,1.09)",0.629294088,0.698949691,0.97,0.86,1.09
TCL1A,Model 0,"1.19(1.14,1.25)",7.85E-14,3.55E-13,1.19,1.14,1.25
TCL1B,Model 0,"0.99(0.93,1.06)",0.83099038,0.871584738,0.99,0.93,1.06
TCN1,Model 0,"1.21(1.04,1.42)",0.014770311,0.025370182,1.21,1.04,1.42
TCN2,Model 0,"1.59(1.39,1.82)",1.43E-11,5.69E-11,1.59,1.39,1.82
TCOF1,Model 0,"2.33(2.14,2.55)",3.32E-78,1.09E-76,2.33,2.14,2.55
TCP11,Model 0,"1.01(0.92,1.11)",0.884657636,0.915055012,1.01,0.92,1.11
TCTN3,Model 0,"1.27(1.06,1.51)",0.00861635,0.015416508,1.27,1.06,1.51
TDGF1,Model 0,"1.06(1.03,1.10)",0.000168326,0.00036928,1.06,1.03,1.1
TDO2,Model 0,"1.01(0.88,1.17)",0.885292068,0.915386983,1.01,0.88,1.17
TDP1,Model 0,"1.26(1.18,1.33)",8.54E-14,3.85E-13,1.26,1.18,1.33
TDRKH,Model 0,"1.14(1.08,1.20)",9.60E-07,2.62E-06,1.14,1.08,1.2
TEF,Model 0,"1.15(1.02,1.30)",0.022682819,0.037568821,1.15,1.02,1.3
TEK,Model 0,"1.90(1.55,2.34)",1.32E-09,4.61E-09,1.9,1.55,2.34
TERF1,Model 0,"1.19(0.99,1.44)",0.058453153,0.089691649,1.19,0.99,1.44
TET2,Model 0,"1.04(0.98,1.09)",0.185706427,0.2496708,1.04,0.98,1.09
TEX101,Model 0,"1.08(1.01,1.17)",0.034709618,0.055964708,1.08,1.01,1.17
TEX33,Model 0,"0.89(0.76,1.03)",0.127771435,0.179457715,0.89,0.76,1.03
TF,Model 0,"0.44(0.34,0.56)",6.00E-11,2.32E-10,0.44,0.34,0.56
TFAP2A,Model 0,"1.09(0.99,1.19)",0.066554921,0.10048623,1.09,0.99,1.19
TFF1,Model 0,"1.33(1.26,1.39)",4.63E-29,3.61E-28,1.33,1.26,1.39
TFF2,Model 0,"1.50(1.40,1.60)",2.57E-31,2.19E-30,1.5,1.4,1.6
TFF3,Model 0,"1.45(1.35,1.55)",8.27E-25,5.74E-24,1.45,1.35,1.55
TFPI,Model 0,"1.29(1.13,1.47)",0.000195334,0.000424702,1.29,1.13,1.47
TFPI2,Model 0,"1.48(1.38,1.59)",3.03E-27,2.26E-26,1.48,1.38,1.59
TFRC,Model 0,"1.42(1.27,1.58)",3.54E-10,1.29E-09,1.42,1.27,1.58
TG,Model 0,"1.01(0.96,1.06)",0.759884658,0.814859787,1.01,0.96,1.06
TGFA,Model 0,"1.61(1.48,1.76)",1.41E-27,1.06E-26,1.61,1.48,1.76
TGFB1,Model 0,"1.88(1.70,2.09)",8.10E-35,8.07E-34,1.88,1.7,2.09
TGFB2,Model 0,"1.08(0.97,1.19)",0.148605091,0.205457797,1.08,0.97,1.19
TGFBI,Model 0,"1.52(1.28,1.79)",1.21E-06,3.25E-06,1.52,1.28,1.79
TGFBR1,Model 0,"1.72(1.42,2.08)",3.91E-08,1.20E-07,1.72,1.42,2.08
TGFBR2,Model 0,"2.80(2.53,3.09)",2.62E-88,1.06E-86,2.8,2.53,3.09
TGFBR3,Model 0,"1.96(1.68,2.28)",2.60E-18,1.39E-17,1.96,1.68,2.28
TGM2,Model 0,"1.13(1.06,1.20)",7.56E-05,0.000172867,1.13,1.06,1.2
TGOLN2,Model 0,"3.08(2.55,3.71)",4.26E-32,3.74E-31,3.08,2.55,3.71
THAP12,Model 0,"1.05(0.99,1.12)",0.095696562,0.138952741,1.05,0.99,1.12
THBD,Model 0,"2.92(2.63,3.24)",2.69E-91,1.19E-89,2.92,2.63,3.24
THBS2,Model 0,"1.33(1.18,1.50)",2.49E-06,6.53E-06,1.33,1.18,1.5
THBS4,Model 0,"1.28(1.17,1.41)",4.47E-07,1.26E-06,1.28,1.17,1.41
THOP1,Model 0,"1.86(1.63,2.11)",1.55E-21,9.52E-21,1.86,1.63,2.11
THPO,Model 0,"1.22(1.08,1.38)",0.00135633,0.002703401,1.22,1.08,1.38
THRAP3,Model 0,"1.00(0.95,1.05)",0.952141059,0.96536524,1,0.95,1.05
THSD1,Model 0,"0.87(0.73,1.03)",0.100536338,0.145257846,0.87,0.73,1.03
THTPA,Model 0,"1.06(1.00,1.13)",0.051219334,0.07951114,1.06,1,1.13
THY1,Model 0,"2.52(2.19,2.91)",2.47E-37,2.69E-36,2.52,2.19,2.91
TIA1,Model 0,"1.05(1.01,1.10)",0.009641244,0.017093158,1.05,1.01,1.1
TIE1,Model 0,"1.36(1.20,1.55)",1.28E-06,3.43E-06,1.36,1.2,1.55
TIGAR,Model 0,"1.56(1.44,1.70)",8.66E-26,6.16E-25,1.56,1.44,1.7
TIGIT,Model 0,"1.60(1.48,1.74)",1.69E-29,1.35E-28,1.6,1.48,1.74
TIMD4,Model 0,"1.79(1.62,1.97)",8.36E-31,7.01E-30,1.79,1.62,1.97
TIMM10,Model 0,"1.27(1.11,1.44)",0.000308972,0.000659503,1.27,1.11,1.44
TIMM8A,Model 0,"1.05(0.98,1.11)",0.164734277,0.225409601,1.05,0.98,1.11
TIMP1,Model 0,"2.91(2.60,3.25)",9.85E-79,3.27E-77,2.91,2.6,3.25
TIMP2,Model 0,"1.44(1.26,1.65)",5.35E-08,1.62E-07,1.44,1.26,1.65
TIMP3,Model 0,"1.07(1.04,1.11)",4.71E-05,0.000109528,1.07,1.04,1.11
TIMP4,Model 0,"1.24(1.11,1.38)",8.00E-05,0.000182284,1.24,1.11,1.38
TINAGL1,Model 0,"3.37(2.79,4.07)",4.74E-36,4.93E-35,3.37,2.79,4.07
TJAP1,Model 0,"1.05(0.99,1.11)",0.10348868,0.149154464,1.05,0.99,1.11
TJP3,Model 0,"0.98(0.86,1.12)",0.796761726,0.844787306,0.98,0.86,1.12
TK1,Model 0,"1.42(1.29,1.55)",3.03E-13,1.32E-12,1.42,1.29,1.55
TLR1,Model 0,"1.79(1.48,2.17)",1.45E-09,5.06E-09,1.79,1.48,2.17
TLR2,Model 0,"1.49(1.18,1.88)",0.00095289,0.001934936,1.49,1.18,1.88
TLR3,Model 0,"1.12(1.03,1.21)",0.005344624,0.009889926,1.12,1.03,1.21
TLR4,Model 0,"1.18(0.97,1.44)",0.093190907,0.135719426,1.18,0.97,1.44
TMCO5A,Model 0,"1.03(0.93,1.14)",0.588366971,0.661914524,1.03,0.93,1.14
TMED1,Model 0,"1.01(0.91,1.12)",0.872704348,0.905256375,1.01,0.91,1.12
TMED10,Model 0,"0.92(0.81,1.05)",0.207428906,0.274690433,0.92,0.81,1.05
TMED4,Model 0,"0.94(0.84,1.04)",0.241468679,0.312124189,0.94,0.84,1.04
TMED8,Model 0,"1.02(0.97,1.08)",0.474800829,0.553681478,1.02,0.97,1.08
TMEM106A,Model 0,"1.12(1.04,1.21)",0.002822471,0.005429259,1.12,1.04,1.21
TMEM132A,Model 0,"0.90(0.82,0.98)",0.016909744,0.028790934,0.9,0.82,0.98
TMEM25,Model 0,"1.18(1.06,1.31)",0.0028725,0.005510972,1.18,1.06,1.31
TMOD4,Model 0,"1.21(1.06,1.38)",0.005632776,0.010403357,1.21,1.06,1.38
TMPRSS11B,Model 0,"0.90(0.83,0.98)",0.015408074,0.026388022,0.9,0.83,0.98
TMPRSS11D,Model 0,"0.98(0.85,1.13)",0.805008743,0.850135816,0.98,0.85,1.13
TMPRSS15,Model 0,"1.01(0.96,1.07)",0.571632376,0.645962283,1.01,0.96,1.07
TMPRSS5,Model 0,"1.13(1.00,1.27)",0.047371268,0.074447849,1.13,1,1.27
TMSB10,Model 0,"1.36(1.28,1.44)",8.30E-25,5.75E-24,1.36,1.28,1.44
TNC,Model 0,"1.58(1.44,1.74)",5.26E-22,3.30E-21,1.58,1.44,1.74
TNF,Model 0,"1.74(1.64,1.85)",2.81E-74,8.20E-73,1.74,1.64,1.85
TNFAIP2,Model 0,"1.34(1.21,1.47)",3.40E-09,1.14E-08,1.34,1.21,1.47
TNFAIP8,Model 0,"1.08(0.95,1.23)",0.22167609,0.291705356,1.08,0.95,1.23
TNFAIP8L2,Model 0,"0.91(0.83,0.99)",0.036728537,0.05899193,0.91,0.83,0.99
TNFRSF10A,Model 0,"2.41(2.24,2.59)",5.50E-122,4.73E-120,2.41,2.24,2.59
TNFRSF10B,Model 0,"1.52(1.46,1.58)",5.08E-91,2.18E-89,1.52,1.46,1.58
TNFRSF10C,Model 0,"1.15(1.04,1.26)",0.004951698,0.009209527,1.15,1.04,1.26
TNFRSF11A,Model 0,"2.27(2.06,2.50)",2.62E-60,4.97E-59,2.27,2.06,2.5
TNFRSF11B,Model 0,"2.17(1.90,2.48)",1.11E-29,8.93E-29,2.17,1.9,2.48
TNFRSF12A,Model 0,"2.42(2.17,2.69)",8.31E-59,1.56E-57,2.42,2.17,2.69
TNFRSF13B,Model 0,"3.12(2.96,3.30)",0,0,3.12,2.96,3.3
TNFRSF13C,Model 0,"2.31(2.15,2.48)",5.75E-121,4.54E-119,2.31,2.15,2.48
TNFRSF14,Model 0,"3.28(2.91,3.71)",1.11E-80,3.76E-79,3.28,2.91,3.71
TNFRSF17,Model 0,"3.13(2.78,3.52)",2.82E-81,9.79E-80,3.13,2.78,3.52
TNFRSF19,Model 0,"3.14(2.82,3.50)",2.72E-95,1.30E-93,3.14,2.82,3.5
TNFRSF1A,Model 0,"3.70(3.31,4.13)",2.74E-117,1.95E-115,3.7,3.31,4.13
TNFRSF1B,Model 0,"1.94(1.85,2.04)",6.51E-152,1.00E-149,1.94,1.85,2.04
TNFRSF21,Model 0,"2.74(2.35,3.20)",2.12E-37,2.32E-36,2.74,2.35,3.2
TNFRSF4,Model 0,"3.55(3.28,3.84)",6.33E-215,2.64E-212,3.55,3.28,3.84
TNFRSF6B,Model 0,"1.75(1.65,1.87)",7.12E-71,1.96E-69,1.75,1.65,1.87
TNFRSF8,Model 0,"2.27(2.11,2.45)",6.69E-103,3.83E-101,2.27,2.11,2.45
TNFRSF9,Model 0,"2.99(2.86,3.14)",0,0,2.99,2.86,3.14
TNFSF10,Model 0,"1.34(1.12,1.60)",0.00129328,0.002584789,1.34,1.12,1.6
TNFSF11,Model 0,"0.95(0.89,1.03)",0.222197686,0.292260019,0.95,0.89,1.03
TNFSF12,Model 0,"0.94(0.80,1.10)",0.409146086,0.488632544,0.94,0.8,1.1
TNFSF13,Model 0,"1.81(1.54,2.13)",6.02E-13,2.59E-12,1.81,1.54,2.13
TNFSF13B,Model 0,"1.40(1.20,1.64)",2.08E-05,5.06E-05,1.4,1.2,1.64
TNFSF14,Model 0,"1.15(1.06,1.24)",0.000654377,0.001350374,1.15,1.06,1.24
TNFSF8,Model 0,"2.44(2.16,2.76)",1.06E-46,1.47E-45,2.44,2.16,2.76
TNIP1,Model 0,"1.08(1.02,1.15)",0.011310787,0.019741482,1.08,1.02,1.15
TNN,Model 0,"1.09(0.97,1.24)",0.152727254,0.21055882,1.09,0.97,1.24
TNNI3,Model 0,"1.05(0.99,1.12)",0.084831411,0.124664177,1.05,0.99,1.12
TNPO1,Model 0,"0.97(0.83,1.14)",0.713145446,0.77354558,0.97,0.83,1.14
TNR,Model 0,"0.72(0.65,0.80)",8.92E-10,3.17E-09,0.72,0.65,0.8
TNXB,Model 0,"0.55(0.46,0.65)",1.62E-11,6.40E-11,0.55,0.46,0.65
TOMM20,Model 0,"1.23(1.15,1.31)",1.54E-09,5.31E-09,1.23,1.15,1.31
TOP1,Model 0,"0.94(0.89,0.98)",0.006325755,0.011580692,0.94,0.89,0.98
TOP1MT,Model 0,"0.87(0.77,0.99)",0.031433994,0.050964611,0.87,0.77,0.99
TOP2B,Model 0,"1.28(1.20,1.36)",1.89E-13,8.36E-13,1.28,1.2,1.36
TOR1AIP1,Model 0,"1.29(1.18,1.41)",4.55E-09,1.51E-08,1.29,1.18,1.41
TP53,Model 0,"1.33(1.20,1.48)",6.52E-08,1.96E-07,1.33,1.2,1.48
TP53BP1,Model 0,"1.15(1.09,1.23)",3.97E-06,1.02E-05,1.15,1.09,1.23
TP53I3,Model 0,"1.38(1.25,1.52)",3.35E-10,1.23E-09,1.38,1.25,1.52
TP53INP1,Model 0,"1.04(0.90,1.20)",0.620703569,0.692834259,1.04,0.9,1.2
TP73,Model 0,"1.01(0.85,1.19)",0.946116133,0.959923249,1.01,0.85,1.19
TPBGL,Model 0,"0.97(0.84,1.11)",0.662941466,0.729660415,0.97,0.84,1.11
TPD52L2,Model 0,"1.00(0.95,1.06)",0.89500435,0.921188827,1,0.95,1.06
TPK1,Model 0,"2.84(2.36,3.42)",2.01E-28,1.53E-27,2.84,2.36,3.42
TPM3,Model 0,"1.13(1.01,1.28)",0.03418318,0.055237901,1.13,1.01,1.28
TPMT,Model 0,"1.03(0.96,1.10)",0.382875536,0.46332224,1.03,0.96,1.1
TPP1,Model 0,"1.50(1.38,1.62)",2.50E-21,1.52E-20,1.5,1.38,1.62
TPPP2,Model 0,"0.95(0.89,1.03)",0.200423745,0.266501519,0.95,0.89,1.03
TPPP3,Model 0,"1.05(0.94,1.18)",0.392403015,0.472501774,1.05,0.94,1.18
TPR,Model 0,"1.46(1.36,1.56)",3.93E-28,2.97E-27,1.46,1.36,1.56
TPRKB,Model 0,"1.03(0.94,1.12)",0.538450933,0.616199216,1.03,0.94,1.12
TPSAB1,Model 0,"1.23(1.13,1.34)",4.59E-06,1.18E-05,1.23,1.13,1.34
TPSD1,Model 0,"1.15(1.01,1.31)",0.039245681,0.062621524,1.15,1.01,1.31
TPSG1,Model 0,"0.95(0.77,1.18)",0.668407265,0.734016252,0.95,0.77,1.18
TPT1,Model 0,"0.91(0.84,0.99)",0.020656278,0.03450591,0.91,0.84,0.99
TRAF2,Model 0,"1.11(1.04,1.18)",0.001939372,0.003787938,1.11,1.04,1.18
TRAF3,Model 0,"1.33(1.18,1.50)",5.06E-06,1.29E-05,1.33,1.18,1.5
TRAF3IP2,Model 0,"1.02(0.91,1.14)",0.788395597,0.8392691,1.02,0.91,1.14
TRDMT1,Model 0,"1.10(1.04,1.17)",0.002301142,0.00445284,1.1,1.04,1.17
TREH,Model 0,"1.00(0.93,1.07)",0.933037808,0.950286153,1,0.93,1.07
TREM2,Model 0,"1.67(1.55,1.81)",8.38E-40,1.01E-38,1.67,1.55,1.81
TREML1,Model 0,"1.01(0.91,1.12)",0.860476246,0.896053996,1.01,0.91,1.12
TREML2,Model 0,"2.41(2.13,2.73)",5.05E-45,6.83E-44,2.41,2.13,2.73
TRIAP1,Model 0,"1.29(1.20,1.39)",1.19E-12,4.98E-12,1.29,1.2,1.39
TRIM21,Model 0,"1.07(1.00,1.13)",0.03688967,0.059218161,1.07,1,1.13
TRIM24,Model 0,"1.20(1.11,1.30)",2.67E-06,6.99E-06,1.2,1.11,1.3
TRIM25,Model 0,"1.04(0.99,1.09)",0.15035363,0.207482325,1.04,0.99,1.09
TRIM26,Model 0,"1.04(0.94,1.14)",0.428359198,0.50804584,1.04,0.94,1.14
TRIM40,Model 0,"0.92(0.85,1.00)",0.050098857,0.078062253,0.92,0.85,1
TRIM5,Model 0,"1.06(1.01,1.12)",0.028276031,0.0462037,1.06,1.01,1.12
TRIM58,Model 0,"1.18(1.11,1.25)",2.78E-07,7.95E-07,1.18,1.11,1.25
TRPV3,Model 0,"0.93(0.83,1.05)",0.236843618,0.307064307,0.93,0.83,1.05
TSC1,Model 0,"1.00(0.93,1.08)",0.991599052,0.995245178,1,0.93,1.08
TSC22D1,Model 0,"1.11(1.03,1.21)",0.006647119,0.012138578,1.11,1.03,1.21
TSHB,Model 0,"1.01(0.95,1.08)",0.658848186,0.726250171,1.01,0.95,1.08
TSLP,Model 0,"1.04(0.97,1.13)",0.268438392,0.342288255,1.04,0.97,1.13
TSNAX,Model 0,"1.24(1.08,1.42)",0.001692509,0.00333702,1.24,1.08,1.42
TSPAN1,Model 0,"1.32(1.24,1.41)",5.76E-19,3.15E-18,1.32,1.24,1.41
TSPAN15,Model 0,"1.02(0.92,1.14)",0.662134661,0.729047214,1.02,0.92,1.14
TSPAN7,Model 0,"0.98(0.92,1.04)",0.425533484,0.505515774,0.98,0.92,1.04
TSPAN8,Model 0,"1.12(1.06,1.18)",2.30E-05,5.56E-05,1.12,1.06,1.18
TSPYL1,Model 0,"1.28(1.13,1.46)",0.000124544,0.000277398,1.28,1.13,1.46
TST,Model 0,"1.12(1.05,1.19)",0.000377167,0.000796909,1.12,1.05,1.19
TTF2,Model 0,"1.10(0.98,1.22)",0.098572785,0.142703288,1.1,0.98,1.22
TTN,Model 0,"1.13(1.05,1.21)",0.001176395,0.002359253,1.13,1.05,1.21
TTR,Model 0,"0.85(0.69,1.04)",0.113656196,0.161890776,0.85,0.69,1.04
TUBB3,Model 0,"1.57(1.32,1.88)",4.67E-07,1.32E-06,1.57,1.32,1.88
TWF2,Model 0,"1.04(0.98,1.11)",0.231959373,0.302105874,1.04,0.98,1.11
TXK,Model 0,"0.98(0.91,1.06)",0.578562692,0.652279174,0.98,0.91,1.06
TXLNA,Model 0,"1.17(1.11,1.24)",2.22E-09,7.59E-09,1.17,1.11,1.24
TXN,Model 0,"1.37(1.24,1.52)",1.05E-09,3.70E-09,1.37,1.24,1.52
TXNDC15,Model 0,"1.40(1.19,1.65)",5.69E-05,0.000131012,1.4,1.19,1.65
TXNDC5,Model 0,"1.31(1.23,1.40)",1.46E-16,7.39E-16,1.31,1.23,1.4
TXNDC9,Model 0,"1.13(1.02,1.24)",0.018938844,0.031856182,1.13,1.02,1.24
TXNL1,Model 0,"1.05(1.00,1.11)",0.074095288,0.110612598,1.05,1,1.11
TXNRD1,Model 0,"1.22(1.11,1.34)",5.41E-05,0.000124879,1.22,1.11,1.34
TYMP,Model 0,"1.17(1.09,1.26)",5.98E-06,1.52E-05,1.17,1.09,1.26
TYRO3,Model 0,"1.51(1.29,1.78)",6.59E-07,1.83E-06,1.51,1.29,1.78
TYRP1,Model 0,"1.34(1.23,1.48)",3.13E-10,1.16E-09,1.34,1.23,1.48
UBAC1,Model 0,"1.70(1.49,1.93)",1.69E-15,8.26E-15,1.7,1.49,1.93
UBE2B,Model 0,"1.36(1.14,1.61)",0.000450006,0.000944657,1.36,1.14,1.61
UBE2L6,Model 0,"1.44(1.33,1.57)",5.66E-18,3.01E-17,1.44,1.33,1.57
UBE2Z,Model 0,"1.09(1.00,1.19)",0.058702783,0.090027377,1.09,1,1.19
UBQLN3,Model 0,"1.03(0.92,1.15)",0.622139328,0.693906355,1.03,0.92,1.15
UBXN1,Model 0,"1.16(1.08,1.26)",0.000127438,0.000283196,1.16,1.08,1.26
UFD1,Model 0,"1.02(0.99,1.07)",0.217744492,0.287178824,1.02,0.99,1.07
UGDH,Model 0,"1.02(0.97,1.08)",0.460099444,0.540092728,1.02,0.97,1.08
UHRF2,Model 0,"1.10(0.95,1.28)",0.184945379,0.249096174,1.1,0.95,1.28
ULBP2,Model 0,"2.52(2.27,2.79)",9.57E-69,2.45E-67,2.52,2.27,2.79
UMOD,Model 0,"0.71(0.66,0.76)",1.01E-18,5.46E-18,0.71,0.66,0.76
UNC5D,Model 0,"1.28(1.05,1.56)",0.014985801,0.025694973,1.28,1.05,1.56
UNC79,Model 0,"0.99(0.90,1.09)",0.82890692,0.870337363,0.99,0.9,1.09
UNG,Model 0,"1.19(1.03,1.38)",0.01663783,0.028394193,1.19,1.03,1.38
UPB1,Model 0,"1.07(1.01,1.13)",0.016542178,0.028247462,1.07,1.01,1.13
UPK3A,Model 0,"1.04(0.93,1.17)",0.485867937,0.564333483,1.04,0.93,1.17
UPK3BL1,Model 0,"0.94(0.84,1.05)",0.280538954,0.354620669,0.94,0.84,1.05
UROD,Model 0,"1.15(1.06,1.24)",0.000686772,0.00141323,1.15,1.06,1.24
UROS,Model 0,"1.11(1.03,1.20)",0.005818466,0.010712434,1.11,1.03,1.2
USO1,Model 0,"1.07(1.02,1.13)",0.010303429,0.018167883,1.07,1.02,1.13
USP25,Model 0,"1.18(1.09,1.27)",1.82E-05,4.45E-05,1.18,1.09,1.27
USP28,Model 0,"1.70(1.56,1.86)",4.83E-32,4.21E-31,1.7,1.56,1.86
USP47,Model 0,"1.00(0.94,1.07)",0.941519693,0.957107444,1,0.94,1.07
USP8,Model 0,"1.09(1.04,1.15)",0.000351571,0.000743365,1.09,1.04,1.15
UXS1,Model 0,"1.14(1.05,1.24)",0.002524523,0.004875401,1.14,1.05,1.24
VAMP5,Model 0,"1.24(1.16,1.34)",4.28E-09,1.43E-08,1.24,1.16,1.34
VAMP8,Model 0,"1.08(1.01,1.15)",0.01676663,0.028580595,1.08,1.01,1.15
VASH1,Model 0,"1.02(0.97,1.08)",0.408959196,0.488632544,1.02,0.97,1.08
VASN,Model 0,"1.63(1.38,1.93)",9.92E-09,3.19E-08,1.63,1.38,1.93
VASP,Model 0,"1.02(0.95,1.10)",0.527485683,0.606434731,1.02,0.95,1.1
VAT1,Model 0,"1.60(1.28,2.02)",5.11E-05,0.000118398,1.6,1.28,2.02
VAV3,Model 0,"1.03(0.97,1.09)",0.306889388,0.382792402,1.03,0.97,1.09
VCAM1,Model 0,"4.52(3.96,5.15)",1.08E-111,7.02E-110,4.52,3.96,5.15
VCAN,Model 0,"1.84(1.59,2.13)",1.63E-16,8.25E-16,1.84,1.59,2.13
VCPKMT,Model 0,"0.98(0.92,1.05)",0.56138057,0.638081457,0.98,0.92,1.05
VEGFA,Model 0,"1.46(1.36,1.57)",1.71E-24,1.17E-23,1.46,1.36,1.57
